name,long,lat
8 AV/W 17 ST,-73.999,40.741
7 AV/W 20 ST,-73.999,40.741
W 14 ST/7 AV,-73.999,40.741
7 AV/W 17 ST,-73.999,40.741
W 16 ST/7 AV,-73.999,40.741
10 AV/W 30 ST,-73.999,40.753
10 AV/W 34 ST,-73.999,40.753
9 AV/W 34 ST,-73.999,40.753
9 AV/W 30 ST,-73.999,40.753
W 34 ST/10 AV,-73.999,40.753
W 34 ST/DYER AV,-73.999,40.753
W 34 ST/HUDSON BL,-73.999,40.753
W 42 ST/11 AV,-74,40.759
11 AV/W 38 ST,-74,40.759
12 AV/ W 40 ST,-74,40.759
11 AV/W 42 ST,-74,40.759
W HOUSTON ST/SULLIVAN ST,-74,40.729
W HOUSTON ST/MACDOUGAL ST,-74,40.729
AV OF THE AMERICAS/W 3 ST,-74,40.729
W HOUSTON ST/W BROADWAY,-74,40.729
W HOUSTON ST/LA GUARDIA PL,-74,40.729
8 AV/W 17 ST,-74,40.743
8 AV/W 20 ST,-74,40.743
W 23 ST/8 AV,-74,40.743
E BROADWAY/CATHERINE ST,-74,40.715
WORTH ST/CENTRE ST,-74,40.715
PARK ROW/WORTH ST,-74,40.715
WORTH ST/MOTT ST,-74,40.715
PARK ROW/ST JAMES PL,-74,40.715
W HOUSTON ST/SULLIVAN ST,-74,40.726
W HOUSTON ST/MACDOUGAL ST,-74,40.726
W HOUSTON ST/GREENE ST,-74,40.726
W HOUSTON ST/W BROADWAY,-74,40.726
W HOUSTON ST/LA GUARDIA PL,-74,40.726
BROADWAY/PRINCE ST,-74,40.726
10 AV/W 27 ST,-74,40.749
9 AV/W 30 ST,-74,40.749
9 AV/W 28 ST,-74,40.749
W 23 ST/9 AV,-74,40.749
9 AV/W 25 ST,-74,40.749
12 AV/W 46 ST,-73.999,40.766
12 AV/W 48 ST,-73.999,40.766
W 50 ST/12 AV,-73.999,40.766
W 49 ST/12 AV,-73.999,40.766
W HOUSTON ST/SULLIVAN ST,-74,40.727
W HOUSTON ST/MACDOUGAL ST,-74,40.727
W HOUSTON ST/GREENE ST,-74,40.727
W HOUSTON ST/W BROADWAY,-74,40.727
W HOUSTON ST/LA GUARDIA PL,-74,40.727
CROPSEY AV/BAY PY,-74,40.595
SHORE PY/BAY PY,-74,40.595
SHORE PKY/R&S STRAUSS,-74,40.595
BAY PKY/CROPSEY AV,-74,40.595
CROPSEY AV/BAY 31 ST,-74,40.595
